Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curv,vel_crucero,curv_pred,control
L,0.08438515663146973,10,10,0.0,0.0,0.16891701103061754,0,0.0,-522.0817258689226,0,15.0,0.0,0
,-245.4207169603888,0,15.0,0.0,0
L,0.0836787223815918,-2.7,10,0.0,0.6074510244706217,-0.009596314766521431,0,0,0,0,15.0,0.0,0
L,0.07665729522705078,-4.0,10,0.0,0.2549258747072267,-0.07926741497038692,0,-0.7843195521601262,247.92169741195923,0,15.0,0.0,0
L,0.07608556747436523,-4.0,10,0.0,-0.36995534484849735,-0.16969843583467414,0,1.1184723688600184,496.1556162620211,0,15.0,0.0,0
L,0.07593512535095215,-4.0,10,0.0,-0.07399106896969987,-0.005363263217622449,0,0,0,0,15.0,0.0,0
L,0.07610964775085449,-4.0,10,0.0,0.19742266933252672,0.14966209133192301,0,-0.6072937778185122,-468.5665264647086,0,15.0,0.0,0
L,0.07606220245361328,-4.0,10,0.0,1.1669404561023748,0.10723932867476074,0,-3.604607199351427,-268.97854017729037,0,15.0,0.0,0
L,0.07973432540893555,-4.0,10,0.0,0.5156103928481959,-0.12111766613618921,0,-1.6917288564364774,369.56715282444384,0,15.0,0.0,0
L,0.08969283103942871,-4.0,10,0.0,-1.2203230020267508,-0.12975553851829597,0,3.625525553022676,273.1544277760328,0,15.0,0.0,0
L,0.08037638664245605,-4.0,10,0.0,-0.048186520153925994,0.07972884439471985,0,0.11298916577904838,-336.8076217151914,0,15.0,0.0,0
L,0.0785825252532959,-4.0,10,0.0,0.4619238715798133,0.15426942156953377,0,-1.4536411537256904,-440.97803972312283,0,15.0,0.0,0
L,0.07917547225952148,-3.2,10,0.0,0.6999224495847077,-0.12174491803986233,0,-2.2230535782312844,420.50749802764665,0,15.0,0.0,0
L,0.07877469062805176,-4.0,10,0.0,-0.39760546691722576,-0.13672210836985033,0,1.100851418922943,301.16903272695885,0,15.0,0.0,0
L,0.07956385612487793,-4.0,10,0.0,0.5283453763406947,0.07727711608800741,0,-1.7190383063582337,-327.28435158096215,0,15.0,0.0,0
L,0.08037376403808594,-4.0,10,0.0,0.6496708766626793,0.08905723390370744,0,-2.13523130106749,-230.46975716553834,0,15.0,0.0,0
L,0.07994222640991211,-4.0,10,0.0,-0.2716681264331572,-0.1200756582738203,0,0.6505034630916952,396.7490721987703,0,15.0,0.0,0
